transaction_id,customer_id,date,amount,quantity
T00057,C0058,2026-08-28,2550,1
T00058,C0059,2026-08-29,2900,2
T00059,C0060,2026-08-30,3250,3
T00060,C0061,2026-08-01,3600,1
T00061,C0062,2026-08-02,3950,2
T00062,C0063,2026-08-03,4300,3
T00063,C0064,2026-08-04,4650,1
T00064,C0065,2026-08-05,5000,2
T00065,C0066,2026-08-06,800,3
T00066,C0067,2026-08-07,1150,1
T00067,C0068,2026-08-08,1500,2
T00068,C0069,2026-08-09,1850,3
T00069,C0070,2026-08-10,2200,1
T00070,C0071,2026-08-11,2550,2
T00071,C0072,2026-08-12,2900,3
T00072,C0073,2026-08-13,3250,1
T00073,C0074,2026-08-14,3600,2
T00074,C0075,2026-08-15,3950,3
T00075,C0076,2026-08-16,4300,1
T00076,C0077,2026-08-17,4650,2
T00077,C0078,2026-08-18,5000,3
T00078,C0079,2026-08-19,800,1
T00079,C0080,2026-08-20,1150,2
T00080,C0081,2026-08-21,1500,3
T00081,C0082,2026-08-22,1850,1
T00082,C0083,2026-08-23,2200,2
T00083,C0084,2026-08-24,2550,3
T00084,C0085,2026-08-25,2900,1
T00085,C0086,2026-08-26,3250,2
T00086,C0087,2026-08-27,3600,3
T00087,C0088,2026-08-28,3950,1
T00088,C0089,2026-08-29,4300,2
T00089,C0090,2026-08-30,4650,3
T00090,C0091,2026-08-01,5000,1
T00091,C0092,2026-08-02,800,2
T00092,C0093,2026-08-03,1150,3
T00093,C0094,2026-08-04,1500,1
T00094,C0095,2026-08-05,1850,2
T00095,C0096,2026-08-06,2200,3
T00096,C0097,2026-08-07,2550,1
T00097,C0098,2026-08-08,2900,2
T00098,C0099,2026-08-09,3250,3
T00099,C0100,2026-08-10,3600,1
T00100,C0001,2026-08-11,3950,2
T00101,C0002,2026-08-12,4300,3
T00102,C0003,2026-08-13,4650,1
T00103,C0004,2026-08-14,5000,2
T00104,C0005,2026-08-15,800,3
T00105,C0006,2026-08-16,1150,1
T00106,C0007,2026-08-17,1500,2
T00107,C0008,2026-08-18,1850,3
T00108,C0009,2026-08-19,2200,1
T00109,C0010,2026-08-20,2550,2
T00110,C0011,2026-08-21,2900,3
T00111,C0012,2026-08-22,3250,1
T00112,C0013,2026-08-23,3600,2
T00113,C0014,2026-08-24,3950,3
T00114,C0015,2026-08-25,4300,1
T00115,C0016,2026-08-26,4650,2
T00116,C0017,2026-08-27,5000,3
T00117,C0018,2026-08-28,800,1
T00118,C0019,2026-08-29,1150,2
T00119,C0020,2026-08-30,1500,3
T00120,C0021,2026-08-01,1850,1
T00121,C0022,2026-08-02,2200,2
T00122,C0023,2026-08-03,2550,3
T00123,C0024,2026-08-04,2900,1
T00124,C0025,2026-08-05,3250,2
T00125,C0026,2026-08-06,3600,3
T00126,C0027,2026-08-07,3950,1
T00127,C0028,2026-08-08,4300,2
T00128,C0029,2026-08-09,4650,3
T00129,C0030,2026-08-10,5000,1
T00130,C0031,2026-08-11,800,2
T00131,C0032,2026-08-12,1150,3
T00132,C0033,2026-08-13,1500,1
T00133,C0034,2026-08-14,1850,2
T00134,C0035,2026-08-15,2200,3
T00135,C0036,2026-08-16,2550,1
T00136,C0037,2026-08-17,2900,2
T00137,C0038,2026-08-18,3250,3
T00138,C0039,2026-08-19,3600,1
T00139,C0040,2026-08-20,3950,2
T00140,C0041,2026-08-21,4300,3
T00141,C0042,2026-08-22,4650,1
T00142,C0043,2026-08-23,5000,2
T00143,C0044,2026-08-24,800,3
T00144,C0045,2026-08-25,1150,1
T00145,C0046,2026-08-26,1500,2
T00146,C0047,2026-08-27,1850,3
T00147,C0048,2026-08-28,2200,1
T00148,C0049,2026-08-29,2550,2
T00149,C0050,2026-08-30,2900,3
T00150,C0051,2026-08-01,3250,1
T00151,C0052,2026-08-02,3600,2
T00152,C0053,2026-08-03,3950,3
T00153,C0054,2026-08-04,4300,1
T00154,C0055,2026-08-05,4650,2
T00155,C0056,2026-08-06,5000,3
T00156,C0057,2026-08-07,800,1
T00157,C0058,2026-08-08,1150,2
T00158,C0059,2026-08-09,1500,3
T00159,C0060,2026-08-10,1850,1
T00160,C0061,2026-08-11,2200,2
T00161,C0062,2026-08-12,2550,3
T00162,C0063,2026-08-13,2900,1
T00163,C0064,2026-08-14,3250,2
T00164,C0065,2026-08-15,3600,3
T00165,C0066,2026-08-16,3950,1
T00166,C0067,2026-08-17,4300,2
T00167,C0068,2026-08-18,4650,3
T00168,C0069,2026-08-19,5000,1
T00169,C0070,2026-08-20,800,2
T00170,C0071,2026-08-21,1150,3
T00171,C0072,2026-08-22,1500,1
T00172,C0073,2026-08-23,1850,2
T00173,C0074,2026-08-24,2200,3
T00174,C0075,2026-08-25,2550,1
T00175,C0076,2026-08-26,2900,2
T00176,C0077,2026-08-27,3250,3
T00177,C0078,2026-08-28,3600,1
T00178,C0079,2026-08-29,3950,2
T00179,C0080,2026-08-30,4300,3
T00180,C0081,2026-08-01,4650,1
T00181,C0082,2026-08-02,5000,2
T00182,C0083,2026-08-03,800,3
T00183,C0084,2026-08-04,1150,1
T00184,C0085,2026-08-05,1500,2
T00185,C0086,2026-08-06,1850,3
T00186,C0087,2026-08-07,2200,1
T00187,C0088,2026-08-08,2550,2
T00188,C0089,2026-08-09,2900,3
T00189,C0090,2026-08-10,3250,1
T00190,C0091,2026-08-11,3600,2
T00191,C0092,2026-08-12,3950,3
T00192,C0093,2026-08-13,4300,1
T00193,C0094,2026-08-14,4650,2
T00194,C0095,2026-08-15,5000,3
T00195,C0096,2026-08-16,800,1
T00196,C0097,2026-08-17,1150,2
T00197,C0098,2026-08-18,1500,3
T00198,C0099,2026-08-19,1850,1
T00199,C0100,2026-08-20,2200,2
T00200,C0001,2026-08-21,2550,3
T00201,C0002,2026-08-22,2900,1
T00202,C0003,2026-08-23,3250,2
T00203,C0004,2026-08-24,3600,3
T00204,C0005,2026-08-25,3950,1
T00205,C0006,2026-08-26,4300,2
T00206,C0007,2026-08-27,4650,3
T00207,C0008,2026-08-28,5000,1
T00208,C0009,2026-08-29,800,2
T00209,C0010,2026-08-30,1150,3
T00210,C0011,2026-08-01,1500,1
T00211,C0012,2026-08-02,1850,2
T00212,C0013,2026-08-03,2200,3
T00213,C0014,2026-08-04,2550,1
T00214,C0015,2026-08-05,2900,2
T00215,C0016,2026-08-06,3250,3
T00216,C0017,2026-08-07,3600,1
T00217,C0018,2026-08-08,3950,2
T00218,C0019,2026-08-09,4300,3
T00219,C0020,2026-08-10,4650,1
T00220,C0021,2026-08-11,5000,2
T00221,C0022,2026-08-12,800,3
T00222,C0023,2026-08-13,1150,1
T00223,C0024,2026-08-14,1500,2
T00224,C0025,2026-08-15,1850,3
T00225,C0026,2026-08-16,2200,1
T00226,C0027,2026-08-17,2550,2
T00227,C0028,2026-08-18,2900,3
T00228,C0029,2026-08-19,3250,1
T00229,C0030,2026-08-20,3600,2
T00230,C0031,2026-08-21,3950,3
T00231,C0032,2026-08-22,4300,1
T00232,C0033,2026-08-23,4650,2
T00233,C0034,2026-08-24,5000,3
T00234,C0035,2026-08-25,800,1
T00235,C0036,2026-08-26,1150,2
T00236,C0037,2026-08-27,1500,3
T00237,C0038,2026-08-28,1850,1
T00238,C0039,2026-08-29,2200,2
T00239,C0040,2026-08-30,2550,3
T00240,C0041,2026-08-01,2900,1
T00241,C0042,2026-08-02,3250,2
T00242,C0043,2026-08-03,3600,3
T00243,C0044,2026-08-04,3950,1
T00244,C0045,2026-08-05,4300,2
T00245,C0046,2026-08-06,4650,3
T00246,C0047,2026-08-07,5000,1
T00247,C0048,2026-08-08,800,2
T00248,C0049,2026-08-09,1150,3
T00249,C0050,2026-08-10,1500,1
T00250,C0051,2026-08-11,1850,2
T00251,C0052,2026-08-12,2200,3
T00252,C0053,2026-08-13,2550,1
T00253,C0054,2026-08-14,2900,2
T00254,C0055,2026-08-15,3250,3
T00255,C0056,2026-08-16,3600,1
T00256,C0057,2026-08-17,3950,2
T00257,C0058,2026-08-18,4300,3
T00258,C0059,2026-08-19,4650,1
T00259,C0060,2026-08-20,5000,2
T00260,C0061,2026-08-21,800,3
T00261,C0062,2026-08-22,1150,1
T00262,C0063,2026-08-23,1500,2
T00263,C0064,2026-08-24,1850,3
T00264,C0065,2026-08-25,2200,1
T00265,C0066,2026-08-26,2550,2
T00266,C0067,2026-08-27,2900,3
T00267,C0068,2026-08-28,3250,1
T00268,C0069,2026-08-29,3600,2
T00269,C0070,2026-08-30,3950,3
T00270,C0071,2026-08-01,4300,1
T00271,C0072,2026-08-02,4650,2
T00272,C0073,2026-08-03,5000,3
T00273,C0074,2026-08-04,800,1
T00274,C0075,2026-08-05,1150,2
T00275,C0076,2026-08-06,1500,3
T00276,C0077,2026-08-07,1850,1
T00277,C0078,2026-08-08,2200,2
T00278,C0079,2026-08-09,2550,3
T00279,C0080,2026-08-10,2900,1
T00280,C0081,2026-08-11,3250,2
T00281,C0082,2026-08-12,3600,3
T00282,C0083,2026-08-13,3950,1
T00283,C0084,2026-08-14,4300,2
T00284,C0085,2026-08-15,4650,3
T00285,C0086,2026-08-16,5000,1
T00286,C0087,2026-08-17,800,2
T00287,C0088,2026-08-18,1150,3
T00288,C0089,2026-08-19,1500,1
T00289,C0090,2026-08-20,1850,2
T00290,C0091,2026-08-21,2200,3
T00291,C0092,2026-08-22,2550,1
T00292,C0093,2026-08-23,2900,2
T00293,C0094,2026-08-24,3250,3
T00294,C0095,2026-08-25,3600,1
T00295,C0096,2026-08-26,3950,2
T00296,C0097,2026-08-27,4300,3
T00297,C0098,2026-08-28,4650,1
T00298,C0099,2026-08-29,5000,2
T00299,C0100,2026-08-30,800,3
T00300,C0001,2026-08-01,1150,1
T00301,C0002,2026-08-02,1500,2
T00302,C0003,2026-08-03,1850,3
T00303,C0004,2026-08-04,2200,1
T00304,C0005,2026-08-05,2550,2
T00305,C0006,2026-08-06,2900,3
T00306,C0007,2026-08-07,3250,1
T00307,C0008,2026-08-08,3600,2
T00308,C0009,2026-08-09,3950,3
T00309,C0010,2026-08-10,4300,1
T00310,C0011,2026-08-11,4650,2
T00311,C0012,2026-08-12,5000,3
T00312,C0013,2026-08-13,800,1
T00313,C0014,2026-08-14,1150,2
T00314,C0015,2026-08-15,1500,3
T00315,C0016,2026-08-16,1850,1
T00316,C0017,2026-08-17,2200,2
T00317,C0018,2026-08-18,2550,3
T00318,C0019,2026-08-19,2900,1
T00319,C0020,2026-08-20,3250,2
T00320,C0021,2026-08-21,3600,3
T00321,C0022,2026-08-22,3950,1
T00322,C0023,2026-08-23,4300,2
T00323,C0024,2026-08-24,4650,3
T00324,C0025,2026-08-25,5000,1
T00325,C0026,2026-08-26,800,2
T00326,C0027,2026-08-27,1150,3
T00327,C0028,2026-08-28,1500,1
T00328,C0029,2026-08-29,1850,2
T00329,C0030,2026-08-30,2200,3
T00330,C0031,2026-08-01,2550,1
T00331,C0032,2026-08-02,2900,2
T00332,C0033,2026-08-03,3250,3
T00333,C0034,2026-08-04,3600,1
T00334,C0035,2026-08-05,3950,2
T00335,C0036,2026-08-06,4300,3
T00336,C0037,2026-08-07,4650,1
T00337,C0038,2026-08-08,5000,2
T00338,C0039,2026-08-09,800,3
T00339,C0040,2026-08-10,1150,1
T00340,C0041,2026-08-11,1500,2
T00341,C0042,2026-08-12,1850,3
T00342,C0043,2026-08-13,2200,1
T00343,C0044,2026-08-14,2550,2
T00344,C0045,2026-08-15,2900,3
T00345,C0046,2026-08-16,3250,1
T00346,C0047,2026-08-17,3600,2
T00347,C0048,2026-08-18,3950,3
T00348,C0049,2026-08-19,4300,1
T00349,C0050,2026-08-20,4650,2
T00350,C0051,2026-08-21,5000,3
T00351,C0052,2026-08-22,800,1
T00352,C0053,2026-08-23,1150,2
T00353,C0054,2026-08-24,1500,3
T00354,C0055,2026-08-25,1850,1
T00355,C0056,2026-08-26,2200,2
T00356,C0057,2026-08-27,2550,3
T00357,C0058,2026-08-28,2900,1
T00358,C0059,2026-08-29,3250,2
T00359,C0060,2026-08-30,3600,3
T00360,C0061,2026-08-01,3950,1
T00361,C0062,2026-08-02,4300,2
T00362,C0063,2026-08-03,4650,3
T00363,C0064,2026-08-04,5000,1
T00364,C0065,2026-08-05,800,2
T00365,C0066,2026-08-06,1150,3
T00366,C0067,2026-08-07,1500,1
T00367,C0068,2026-08-08,1850,2
T00368,C0069,2026-08-09,2200,3
T00369,C0070,2026-08-10,2550,1
T00370,C0071,2026-08-11,2900,2
T00371,C0072,2026-08-12,3250,3
T00372,C0073,2026-08-13,3600,1
T00373,C0074,2026-08-14,3950,2
T00374,C0075,2026-08-15,4300,3
T00375,C0076,2026-08-16,4650,1
T00376,C0077,2026-08-17,5000,2
T00377,C0078,2026-08-18,800,3
T00378,C0079,2026-08-19,1150,1
T00379,C0080,2026-08-20,1500,2
T00380,C0081,2026-08-21,1850,3
T00381,C0082,2026-08-22,2200,1
T00382,C0083,2026-08-23,2550,2
T00383,C0084,2026-08-24,2900,3
T00384,C0085,2026-08-25,3250,1
T00385,C0086,2026-08-26,3600,2
T00386,C0087,2026-08-27,3950,3
T00387,C0088,2026-08-28,4300,1
T00388,C0089,2026-08-29,4650,2
T00389,C0090,2026-08-30,5000,3
T00390,C0091,2026-08-01,800,1
T00391,C0092,2026-08-02,1150,2
T00392,C0093,2026-08-03,1500,3
T00393,C0094,2026-08-04,1850,1
T00394,C0095,2026-08-05,2200,2
T00395,C0096,2026-08-06,2550,3
T00396,C0097,2026-08-07,2900,1
T00397,C0098,2026-08-08,3250,2
T00398,C0099,2026-08-09,3600,3
T00399,C0100,2026-08-10,3950,1
T00400,C0001,2026-08-11,4300,2
