interaction_id,customer_id,timestamp,stage,channel,converted
I00117,C0018,2026-08-28,Repeat Purchase,Meta,0
I00118,C0019,2026-08-29,Loyal Customer,Email,0
I00119,C0020,2026-08-30,Awareness,Organic,0
I00120,C0021,2026-08-01,Website Visit,Google,1
I00121,C0022,2026-08-02,Product View,Meta,0
I00122,C0023,2026-08-03,Add to Cart,Email,0
I00123,C0024,2026-08-04,Purchase,Organic,0
I00124,C0025,2026-08-05,Repeat Purchase,Google,0
I00125,C0026,2026-08-06,Loyal Customer,Meta,1
I00126,C0027,2026-08-07,Awareness,Email,0
I00127,C0028,2026-08-08,Website Visit,Organic,0
I00128,C0029,2026-08-09,Product View,Google,0
I00129,C0030,2026-08-10,Add to Cart,Meta,0
I00130,C0031,2026-08-11,Purchase,Email,1
I00131,C0032,2026-08-12,Repeat Purchase,Organic,0
I00132,C0033,2026-08-13,Loyal Customer,Google,0
I00133,C0034,2026-08-14,Awareness,Meta,0
I00134,C0035,2026-08-15,Website Visit,Email,0
I00135,C0036,2026-08-16,Product View,Organic,1
I00136,C0037,2026-08-17,Add to Cart,Google,0
I00137,C0038,2026-08-18,Purchase,Meta,0
I00138,C0039,2026-08-19,Repeat Purchase,Email,0
I00139,C0040,2026-08-20,Loyal Customer,Organic,0
I00140,C0041,2026-08-21,Awareness,Google,1
I00141,C0042,2026-08-22,Website Visit,Meta,0
I00142,C0043,2026-08-23,Product View,Email,0
I00143,C0044,2026-08-24,Add to Cart,Organic,0
I00144,C0045,2026-08-25,Purchase,Google,0
I00145,C0046,2026-08-26,Repeat Purchase,Meta,1
I00146,C0047,2026-08-27,Loyal Customer,Email,0
I00147,C0048,2026-08-28,Awareness,Organic,0
I00148,C0049,2026-08-29,Website Visit,Google,0
I00149,C0050,2026-08-30,Product View,Meta,0
I00150,C0051,2026-08-01,Add to Cart,Email,1
I00151,C0052,2026-08-02,Purchase,Organic,0
I00152,C0053,2026-08-03,Repeat Purchase,Google,0
I00153,C0054,2026-08-04,Loyal Customer,Meta,0
I00154,C0055,2026-08-05,Awareness,Email,0
I00155,C0056,2026-08-06,Website Visit,Organic,1
I00156,C0057,2026-08-07,Product View,Google,0
I00157,C0058,2026-08-08,Add to Cart,Meta,0
I00158,C0059,2026-08-09,Purchase,Email,0
I00159,C0060,2026-08-10,Repeat Purchase,Organic,0
I00160,C0061,2026-08-11,Loyal Customer,Google,1
I00161,C0062,2026-08-12,Awareness,Meta,0
I00162,C0063,2026-08-13,Website Visit,Email,0
I00163,C0064,2026-08-14,Product View,Organic,0
I00164,C0065,2026-08-15,Add to Cart,Google,0
I00165,C0066,2026-08-16,Purchase,Meta,1
I00166,C0067,2026-08-17,Repeat Purchase,Email,0
I00167,C0068,2026-08-18,Loyal Customer,Organic,0
I00168,C0069,2026-08-19,Awareness,Google,0
I00169,C0070,2026-08-20,Website Visit,Meta,0
I00170,C0071,2026-08-21,Product View,Email,1
I00171,C0072,2026-08-22,Add to Cart,Organic,0
I00172,C0073,2026-08-23,Purchase,Google,0
I00173,C0074,2026-08-24,Repeat Purchase,Meta,0
I00174,C0075,2026-08-25,Loyal Customer,Email,0
I00175,C0076,2026-08-26,Awareness,Organic,1
I00176,C0077,2026-08-27,Website Visit,Google,0
I00177,C0078,2026-08-28,Product View,Meta,0
I00178,C0079,2026-08-29,Add to Cart,Email,0
I00179,C0080,2026-08-30,Purchase,Organic,0
I00180,C0081,2026-08-01,Repeat Purchase,Google,1
I00181,C0082,2026-08-02,Loyal Customer,Meta,0
I00182,C0083,2026-08-03,Awareness,Email,0
I00183,C0084,2026-08-04,Website Visit,Organic,0
I00184,C0085,2026-08-05,Product View,Google,0
I00185,C0086,2026-08-06,Add to Cart,Meta,1
I00186,C0087,2026-08-07,Purchase,Email,0
I00187,C0088,2026-08-08,Repeat Purchase,Organic,0
I00188,C0089,2026-08-09,Loyal Customer,Google,0
I00189,C0090,2026-08-10,Awareness,Meta,0
I00190,C0091,2026-08-11,Website Visit,Email,1
I00191,C0092,2026-08-12,Product View,Organic,0
I00192,C0093,2026-08-13,Add to Cart,Google,0
I00193,C0094,2026-08-14,Purchase,Meta,0
I00194,C0095,2026-08-15,Repeat Purchase,Email,0
I00195,C0096,2026-08-16,Loyal Customer,Organic,1
I00196,C0097,2026-08-17,Awareness,Google,0
I00197,C0098,2026-08-18,Website Visit,Meta,0
I00198,C0099,2026-08-19,Product View,Email,0
I00199,C0100,2026-08-20,Add to Cart,Organic,0
I00200,C0001,2026-08-21,Purchase,Google,1
I00201,C0002,2026-08-22,Repeat Purchase,Meta,0
I00202,C0003,2026-08-23,Loyal Customer,Email,0
I00203,C0004,2026-08-24,Awareness,Organic,0
I00204,C0005,2026-08-25,Website Visit,Google,0
I00205,C0006,2026-08-26,Product View,Meta,1
I00206,C0007,2026-08-27,Add to Cart,Email,0
I00207,C0008,2026-08-28,Purchase,Organic,0
I00208,C0009,2026-08-29,Repeat Purchase,Google,0
I00209,C0010,2026-08-30,Loyal Customer,Meta,0
I00210,C0011,2026-08-01,Awareness,Email,1
I00211,C0012,2026-08-02,Website Visit,Organic,0
I00212,C0013,2026-08-03,Product View,Google,0
I00213,C0014,2026-08-04,Add to Cart,Meta,0
I00214,C0015,2026-08-05,Purchase,Email,0
I00215,C0016,2026-08-06,Repeat Purchase,Organic,1
I00216,C0017,2026-08-07,Loyal Customer,Google,0
I00217,C0018,2026-08-08,Awareness,Meta,0
I00218,C0019,2026-08-09,Website Visit,Email,0
I00219,C0020,2026-08-10,Product View,Organic,0
I00220,C0021,2026-08-11,Add to Cart,Google,1
I00221,C0022,2026-08-12,Purchase,Meta,0
I00222,C0023,2026-08-13,Repeat Purchase,Email,0
I00223,C0024,2026-08-14,Loyal Customer,Organic,0
I00224,C0025,2026-08-15,Awareness,Google,0
I00225,C0026,2026-08-16,Website Visit,Meta,1
I00226,C0027,2026-08-17,Product View,Email,0
I00227,C0028,2026-08-18,Add to Cart,Organic,0
I00228,C0029,2026-08-19,Purchase,Google,0
I00229,C0030,2026-08-20,Repeat Purchase,Meta,0
I00230,C0031,2026-08-21,Loyal Customer,Email,1
I00231,C0032,2026-08-22,Awareness,Organic,0
I00232,C0033,2026-08-23,Website Visit,Google,0
I00233,C0034,2026-08-24,Product View,Meta,0
I00234,C0035,2026-08-25,Add to Cart,Email,0
I00235,C0036,2026-08-26,Purchase,Organic,1
I00236,C0037,2026-08-27,Repeat Purchase,Google,0
I00237,C0038,2026-08-28,Loyal Customer,Meta,0
I00238,C0039,2026-08-29,Awareness,Email,0
I00239,C0040,2026-08-30,Website Visit,Organic,0
I00240,C0041,2026-08-01,Product View,Google,1
I00241,C0042,2026-08-02,Add to Cart,Meta,0
I00242,C0043,2026-08-03,Purchase,Email,0
I00243,C0044,2026-08-04,Repeat Purchase,Organic,0
I00244,C0045,2026-08-05,Loyal Customer,Google,0
I00245,C0046,2026-08-06,Awareness,Meta,1
I00246,C0047,2026-08-07,Website Visit,Email,0
I00247,C0048,2026-08-08,Product View,Organic,0
I00248,C0049,2026-08-09,Add to Cart,Google,0
I00249,C0050,2026-08-10,Purchase,Meta,0
I00250,C0051,2026-08-11,Repeat Purchase,Email,1
I00251,C0052,2026-08-12,Loyal Customer,Organic,0
I00252,C0053,2026-08-13,Awareness,Google,0
I00253,C0054,2026-08-14,Website Visit,Meta,0
I00254,C0055,2026-08-15,Product View,Email,0
I00255,C0056,2026-08-16,Add to Cart,Organic,1
I00256,C0057,2026-08-17,Purchase,Google,0
I00257,C0058,2026-08-18,Repeat Purchase,Meta,0
I00258,C0059,2026-08-19,Loyal Customer,Email,0
I00259,C0060,2026-08-20,Awareness,Organic,0
I00260,C0061,2026-08-21,Website Visit,Google,1
I00261,C0062,2026-08-22,Product View,Meta,0
I00262,C0063,2026-08-23,Add to Cart,Email,0
I00263,C0064,2026-08-24,Purchase,Organic,0
I00264,C0065,2026-08-25,Repeat Purchase,Google,0
I00265,C0066,2026-08-26,Loyal Customer,Meta,1
I00266,C0067,2026-08-27,Awareness,Email,0
I00267,C0068,2026-08-28,Website Visit,Organic,0
I00268,C0069,2026-08-29,Product View,Google,0
I00269,C0070,2026-08-30,Add to Cart,Meta,0
I00270,C0071,2026-08-01,Purchase,Email,1
I00271,C0072,2026-08-02,Repeat Purchase,Organic,0
I00272,C0073,2026-08-03,Loyal Customer,Google,0
I00273,C0074,2026-08-04,Awareness,Meta,0
I00274,C0075,2026-08-05,Website Visit,Email,0
I00275,C0076,2026-08-06,Product View,Organic,1
I00276,C0077,2026-08-07,Add to Cart,Google,0
I00277,C0078,2026-08-08,Purchase,Meta,0
I00278,C0079,2026-08-09,Repeat Purchase,Email,0
I00279,C0080,2026-08-10,Loyal Customer,Organic,0
I00280,C0081,2026-08-11,Awareness,Google,1
I00281,C0082,2026-08-12,Website Visit,Meta,0
I00282,C0083,2026-08-13,Product View,Email,0
I00283,C0084,2026-08-14,Add to Cart,Organic,0
I00284,C0085,2026-08-15,Purchase,Google,0
I00285,C0086,2026-08-16,Repeat Purchase,Meta,1
I00286,C0087,2026-08-17,Loyal Customer,Email,0
I00287,C0088,2026-08-18,Awareness,Organic,0
I00288,C0089,2026-08-19,Website Visit,Google,0
I00289,C0090,2026-08-20,Product View,Meta,0
I00290,C0091,2026-08-21,Add to Cart,Email,1
I00291,C0092,2026-08-22,Purchase,Organic,0
I00292,C0093,2026-08-23,Repeat Purchase,Google,0
I00293,C0094,2026-08-24,Loyal Customer,Meta,0
I00294,C0095,2026-08-25,Awareness,Email,0
I00295,C0096,2026-08-26,Website Visit,Organic,1
I00296,C0097,2026-08-27,Product View,Google,0
I00297,C0098,2026-08-28,Add to Cart,Meta,0
I00298,C0099,2026-08-29,Purchase,Email,0
I00299,C0100,2026-08-30,Repeat Purchase,Organic,0
I00300,C0001,2026-08-01,Loyal Customer,Google,1
I00301,C0002,2026-08-02,Awareness,Meta,0
I00302,C0003,2026-08-03,Website Visit,Email,0
I00303,C0004,2026-08-04,Product View,Organic,0
I00304,C0005,2026-08-05,Add to Cart,Google,0
I00305,C0006,2026-08-06,Purchase,Meta,1
I00306,C0007,2026-08-07,Repeat Purchase,Email,0
I00307,C0008,2026-08-08,Loyal Customer,Organic,0
I00308,C0009,2026-08-09,Awareness,Google,0
I00309,C0010,2026-08-10,Website Visit,Meta,0
I00310,C0011,2026-08-11,Product View,Email,1
I00311,C0012,2026-08-12,Add to Cart,Organic,0
I00312,C0013,2026-08-13,Purchase,Google,0
I00313,C0014,2026-08-14,Repeat Purchase,Meta,0
I00314,C0015,2026-08-15,Loyal Customer,Email,0
I00315,C0016,2026-08-16,Awareness,Organic,1
I00316,C0017,2026-08-17,Website Visit,Google,0
I00317,C0018,2026-08-18,Product View,Meta,0
I00318,C0019,2026-08-19,Add to Cart,Email,0
I00319,C0020,2026-08-20,Purchase,Organic,0
I00320,C0021,2026-08-21,Repeat Purchase,Google,1
I00321,C0022,2026-08-22,Loyal Customer,Meta,0
I00322,C0023,2026-08-23,Awareness,Email,0
I00323,C0024,2026-08-24,Website Visit,Organic,0
I00324,C0025,2026-08-25,Product View,Google,0
I00325,C0026,2026-08-26,Add to Cart,Meta,1
I00326,C0027,2026-08-27,Purchase,Email,0
I00327,C0028,2026-08-28,Repeat Purchase,Organic,0
I00328,C0029,2026-08-29,Loyal Customer,Google,0
I00329,C0030,2026-08-30,Awareness,Meta,0
I00330,C0031,2026-08-01,Website Visit,Email,1
I00331,C0032,2026-08-02,Product View,Organic,0
I00332,C0033,2026-08-03,Add to Cart,Google,0
I00333,C0034,2026-08-04,Purchase,Meta,0
I00334,C0035,2026-08-05,Repeat Purchase,Email,0
I00335,C0036,2026-08-06,Loyal Customer,Organic,1
I00336,C0037,2026-08-07,Awareness,Google,0
I00337,C0038,2026-08-08,Website Visit,Meta,0
I00338,C0039,2026-08-09,Product View,Email,0
I00339,C0040,2026-08-10,Add to Cart,Organic,0
I00340,C0041,2026-08-11,Purchase,Google,1
I00341,C0042,2026-08-12,Repeat Purchase,Meta,0
I00342,C0043,2026-08-13,Loyal Customer,Email,0
I00343,C0044,2026-08-14,Awareness,Organic,0
I00344,C0045,2026-08-15,Website Visit,Google,0
I00345,C0046,2026-08-16,Product View,Meta,1
I00346,C0047,2026-08-17,Add to Cart,Email,0
I00347,C0048,2026-08-18,Purchase,Organic,0
I00348,C0049,2026-08-19,Repeat Purchase,Google,0
I00349,C0050,2026-08-20,Loyal Customer,Meta,0
I00350,C0051,2026-08-21,Awareness,Email,1
I00351,C0052,2026-08-22,Website Visit,Organic,0
I00352,C0053,2026-08-23,Product View,Google,0
I00353,C0054,2026-08-24,Add to Cart,Meta,0
I00354,C0055,2026-08-25,Purchase,Email,0
I00355,C0056,2026-08-26,Repeat Purchase,Organic,1
I00356,C0057,2026-08-27,Loyal Customer,Google,0
I00357,C0058,2026-08-28,Awareness,Meta,0
I00358,C0059,2026-08-29,Website Visit,Email,0
I00359,C0060,2026-08-30,Product View,Organic,0
I00360,C0061,2026-08-01,Add to Cart,Google,1
I00361,C0062,2026-08-02,Purchase,Meta,0
I00362,C0063,2026-08-03,Repeat Purchase,Email,0
I00363,C0064,2026-08-04,Loyal Customer,Organic,0
I00364,C0065,2026-08-05,Awareness,Google,0
I00365,C0066,2026-08-06,Website Visit,Meta,1
I00366,C0067,2026-08-07,Product View,Email,0
I00367,C0068,2026-08-08,Add to Cart,Organic,0
I00368,C0069,2026-08-09,Purchase,Google,0
I00369,C0070,2026-08-10,Repeat Purchase,Meta,0
I00370,C0071,2026-08-11,Loyal Customer,Email,1
I00371,C0072,2026-08-12,Awareness,Organic,0
I00372,C0073,2026-08-13,Website Visit,Google,0
I00373,C0074,2026-08-14,Product View,Meta,0
I00374,C0075,2026-08-15,Add to Cart,Email,0
I00375,C0076,2026-08-16,Purchase,Organic,1
I00376,C0077,2026-08-17,Repeat Purchase,Google,0
I00377,C0078,2026-08-18,Loyal Customer,Meta,0
I00378,C0079,2026-08-19,Awareness,Email,0
I00379,C0080,2026-08-20,Website Visit,Organic,0
I00380,C0081,2026-08-21,Product View,Google,1
I00381,C0082,2026-08-22,Add to Cart,Meta,0
I00382,C0083,2026-08-23,Purchase,Email,0
I00383,C0084,2026-08-24,Repeat Purchase,Organic,0
I00384,C0085,2026-08-25,Loyal Customer,Google,0
I00385,C0086,2026-08-26,Awareness,Meta,1
I00386,C0087,2026-08-27,Website Visit,Email,0
I00387,C0088,2026-08-28,Product View,Organic,0
I00388,C0089,2026-08-29,Add to Cart,Google,0
I00389,C0090,2026-08-30,Purchase,Meta,0
I00390,C0091,2026-08-01,Repeat Purchase,Email,1
I00391,C0092,2026-08-02,Loyal Customer,Organic,0
I00392,C0093,2026-08-03,Awareness,Google,0
I00393,C0094,2026-08-04,Website Visit,Meta,0
I00394,C0095,2026-08-05,Product View,Email,0
I00395,C0096,2026-08-06,Add to Cart,Organic,1
I00396,C0097,2026-08-07,Purchase,Google,0
I00397,C0098,2026-08-08,Repeat Purchase,Meta,0
I00398,C0099,2026-08-09,Loyal Customer,Email,0
I00399,C0100,2026-08-10,Awareness,Organic,0
I00400,C0001,2026-08-11,Website Visit,Google,1
